Schlüsselnummer;Stadt;PLZ;Bundesland;Landkreis
13059;Gützkow;17506;Mecklenburg-Vorpommern; Ostvorpommern
12063;Friesack;14662;Brandenburg; Havelland
12061;Golßen;15938;Brandenburg; Dahme-Spreewald
14626;Ostritz;02899;Freistaat Sachsen; Görlitz
09374;Pleystein;92714;Freistaat Bayern; Neustadt a.d.Waldnaab
12069;Ziesar;14793;Brandenburg; Potsdam-Mittelmark
15089;Alsleben;06425;Sachsen-Anhalt; Salzlandkreis
14521;Schlettau;09487;Freistaat Sachsen; Erzgebirgskreis
16068;Buttstädt;99628;Freistaat Thüringen; Sömmerda
16063;Stadtlengsfeld;36457;Freistaat Thüringen; Wartburgkreis
06535;Grebenau;36323;Hessen; Vogelsbergkreis
08437;Scheer;72516;Baden-Württemberg; Sigmaringen
15085;Derenburg;38895;Sachsen-Anhalt; Harz
03158;Hornburg;38315;Niedersachsen; Wolfenbüttel
16064;Bad Tennstedt;99955;Freistaat Thüringen; Unstrut-Hainich-Kreis
09472;Betzenstein;91282;Freistaat Bayern; Bayreuth
14521;Oberwiesenthal;09484;Freistaat Sachsen; Erzgebirgskreis
16073;Gräfenthal;98743;Freistaat Thüringen; Saalfeld-Rudolstadt
12073;Gartz;16307;Brandenburg; Uckermark
15084;Eckartsberga;06648;Sachsen-Anhalt; Burgenlandkreis
16063;Creuzburg;99831;Freistaat Thüringen; Wartburgkreis
16073;Leutenberg;07338;Freistaat Thüringen; Saalfeld-Rudolstadt
08336;Schönau im Schwarzwald;79677;Baden-Württemberg; Lörrach
01054;Friedrichstadt;25840;Schleswig-Holstein; Nordfriesland
13061;Garz/Rügen;18574;Mecklenburg-Vorpommern; Rügen
03156;Bad Grund;37539;Niedersachsen; Osterode am Harz
12070;Lenzen;19309;Brandenburg; Prignitz
16075;Hirschberg;07927;Freistaat Thüringen; Saale-Orla-Kreis
15088;Wettin;06198;Sachsen-Anhalt; Saalekreis
12070;Meyenburg;16945;Brandenburg; Prignitz
09675;Mainbernheim;97350;Freistaat Bayern; Kitzingen
14628;Königstein;01824;Freistaat Sachsen; Sächs. Schweiz-Osterzgebirge
01061;Krempe;25361;Schleswig-Holstein; Steinburg
12066;Ortrand;01990;Brandenburg; Oberspreewald-Lausitz
03358;Rethem;27336;Niedersachsen; Soltau-Fallingbostel
14729;Mutzschen;04688;Freistaat Sachsen; Leipzig
14521;Scheibenberg;09481;Freistaat Sachsen; Erzgebirgskreis
16062;Heringen/Helme;99765;Freistaat Thüringen; Nordhausen
15088;Löbejün;06193;Sachsen-Anhalt; Saalekreis
08437;Veringenstadt;72519;Baden-Württemberg; Sigmaringen
13051;Rerik;18230;Mecklenburg-Vorpommern; Bad Doberan
12060;Oderberg;16248;Brandenburg; Barnim
06635;Rosenthal;35119;Hessen; Waldeck-Frankenberg
15085;Schwanebeck;39397;Sachsen-Anhalt; Harz
16065;Heldrungen;06577;Freistaat Thüringen; Kyffhäuserkreis
08117;Wiesensteig;73349;Baden-Württemberg; Göppingen
16068;Gebesee;99189;Freistaat Thüringen; Sömmerda
09673;Fladungen;97650;Freistaat Bayern; Rhön-Grabfeld
08335;Aach;78267;Baden-Württemberg; Konstanz
15086;Jerichow;39319;Sachsen-Anhalt; Jerichower Land
08415;Hayingen;72534;Baden-Württemberg; Reutlingen
07141;Katzenelnbogen;56368;Rheinland-Pfalz; Rhein-Lahn-Kreis
07336;Lauterecken;67742;Rheinland-Pfalz; Kusel
16069;Bad Colberg-Heldburg;98663;Freistaat Thüringen; Hildburghausen
12073;Brüssow;17326;Brandenburg; Uckermark
15085;Benneckenstein;38877;Sachsen-Anhalt; Harz
12069;Niemegk;14823;Brandenburg; Potsdam-Mittelmark
09476;Teuschnitz;96358;Freistaat Bayern; Kronach
16065;Wiehe;06571;Freistaat Thüringen; Kyffhäuserkreis
14522;Sayda;09619;Freistaat Sachsen; Mittelsachsen
09475;Schauenstein;95197;Freistaat Bayern; Hof
13052;Neukalen;17154;Mecklenburg-Vorpommern; Demmin
09677;Rieneck;97794;Freistaat Bayern; Main-Spessart
03257;Sachsenhagen;31553;Niedersachsen; Schaumburg
07336;Wolfstein;67752;Rheinland-Pfalz; Kusel
07339;Bacharach;55422;Rheinland-Pfalz; Mainz-Bingen
16071;Magdala;99441;Freistaat Thüringen; Weimarer Land
13062;Penkun;17328;Mecklenburg-Vorpommern; Uecker-Randow
08437;Hettingen;72513;Baden-Württemberg; Sigmaringen
16073;Lehesten;07349;Freistaat Thüringen; Saalfeld-Rudolstadt
13059;Usedom;17406;Mecklenburg-Vorpommern; Ostvorpommern
08125;Widdern;74259;Baden-Württemberg; Heilbronn
16073;Oberweißbach;98744;Freistaat Thüringen; Saalfeld-Rudolstadt
15091;Prettin;06922;Sachsen-Anhalt; Wittenberg
16069;Römhild;98631;Freistaat Thüringen; Hildburghausen
16070;Plaue;99338;Freistaat Thüringen; Ilm-Kreis
15087;Sandersleben;06456;Sachsen-Anhalt; Mansfeld-Südharz
03153;Altenau;38707;Niedersachsen; Goslar
12061;Teupitz;15755;Brandenburg; Dahme-Spreewald
16075;Ranis;07389;Freistaat Thüringen; Saale-Orla-Kreis
03153;Sankt Andreasberg;37444;Niedersachsen; Goslar
09574;Velden;91235;Freistaat Bayern; Nürnberger Land
09675;Marktsteft;97342;Freistaat Bayern; Kitzingen
14523;Mühltroff;07919;Freistaat Sachsen; Vogtlandkreis
08127;Langenburg;74595;Baden-Württemberg; Schwäbisch Hall
15083;Seehausen;39365;Sachsen-Anhalt; Börde
16068;Kindelbrück;99638;Freistaat Thüringen; Sömmerda
15083;Hadmersleben;39398;Sachsen-Anhalt; Börde
16063;Kaltennordheim;36452;Freistaat Thüringen; Wartburgkreis
13057;Bad Sülze;18334;Mecklenburg-Vorpommern; Nordvorpommern
12063;Rhinow;14728;Brandenburg; Havelland
14628;Stadt Wehlen;01829;Freistaat Sachsen; Sächs. Schweiz-Osterzgebirge
16076;Hohenleuben;07958;Freistaat Thüringen; Greiz
15090;Arneburg;39596;Sachsen-Anhalt; Stendal
09679;Röttingen;97285;Freistaat Bayern; Würzburg
13059;Lassan;17440;Mecklenburg-Vorpommern; Ostvorpommern
09571;Ornbau;91737;Freistaat Bayern; Ansbach
12064;Buckow;15377;Brandenburg; Märkisch-Oderland
07340;Hornbach;66500;Rheinland-Pfalz; Südwestpfalz
09676;Stadtprozelten;97909;Freistaat Bayern; Miltenberg
15083;Kroppenstedt;39397;Sachsen-Anhalt; Börde
09679;Aub;97239;Freistaat Bayern; Würzburg
15091;Wörlitz;06786;Sachsen-Anhalt; Wittenberg
16066;Oberhof;98559;Freistaat Thüringen; Schmalkalden-Meiningen
12061;Lieberose;15868;Brandenburg; Dahme-Spreewald
07232;Neuerburg;54673;Rheinland-Pfalz; Eifelkreis Bitburg-Prüm
13057;Franzburg;18461;Mecklenburg-Vorpommern; Nordvorpommern
09479;Hohenberg;95691;Freistaat Bayern; Wunsiedel
13057;Richtenberg;18461;Mecklenburg-Vorpommern; Nordvorpommern
14628;Liebstadt;01825;Freistaat Sachsen; Sächs. Schweiz-Osterzgebirge
16071;Buttelstedt;99439;Freistaat Thüringen; Weimarer Land
07141;Sankt Goarshausen;56346;Rheinland-Pfalz; Rhein-Lahn-Kreis
07231;Manderscheid;54531;Rheinland-Pfalz; Bernkastel-Wittlich
15084;Osterfeld;06721;Sachsen-Anhalt; Burgenlandkreis
15087;Stolberg;06547;Sachsen-Anhalt; Mansfeld-Südharz
09374;Neustadt am Kulm;95514;Freistaat Bayern; Neustadt a.d.Waldnaab
